LOCATION,INDICATOR,SUBJECT,MEASURE,FREQUENCY,TIME,Value
CAN,EMP,TOT,PC_WKGPOP,Q,2019-Q1,74.4
CAN,EMP,TOT,PC_WKGPOP,Q,2019-Q2,74.76667
CAN,EMP,TOT,PC_WKGPOP,Q,2019-Q3,74.7
CAN,EMP,TOT,PC_WKGPOP,Q,2019-Q4,74.56667
CAN,EMP,TOT,PC_WKGPOP,Q,2020-Q1,73.1
CAN,EMP,TOT,PC_WKGPOP,Q,2020-Q2,64.56667
CAN,EMP,TOT,PC_WKGPOP,Q,2020-Q3,70.5
CAN,EMP,TOT,PC_WKGPOP,Q,2020-Q4,72.26667
CAN,EMP,TOT,PC_WKGPOP,Q,2021-Q1,72.2
CAN,EMP,TOT,PC_WKGPOP,Q,2021-Q2,72.66666
CAN,EMP,TOT,PC_WKGPOP,Q,2021-Q3,74.03333
CAN,EMP,TOT,PC_WKGPOP,Q,2021-Q4,75.13333
CAN,EMP,TOT,PC_WKGPOP,Q,2022-Q1,75.3
CAN,EMP,TOT,PC_WKGPOP,Q,2022-Q2,75.83334
CAN,EMP,TOT,PC_WKGPOP,Q,2022-Q3,75.53333
CAN,EMP,TOT,PC_WKGPOP,Q,2022-Q4,75.8
FRA,EMP,TOT,PC_WKGPOP,Q,2019-Q1,66.23073
FRA,EMP,TOT,PC_WKGPOP,Q,2019-Q2,66.53554
FRA,EMP,TOT,PC_WKGPOP,Q,2019-Q3,66.26167
FRA,EMP,TOT,PC_WKGPOP,Q,2019-Q4,66.5294
FRA,EMP,TOT,PC_WKGPOP,Q,2020-Q1,66.7099
FRA,EMP,TOT,PC_WKGPOP,Q,2020-Q2,65.63515
FRA,EMP,TOT,PC_WKGPOP,Q,2020-Q3,65.88223
FRA,EMP,TOT,PC_WKGPOP,Q,2020-Q4,66.23323
FRA,EMP,TOT,PC_WKGPOP,Q,2021-Q1,66.54458
FRA,EMP,TOT,PC_WKGPOP,Q,2021-Q2,67.12887
FRA,EMP,TOT,PC_WKGPOP,Q,2021-Q3,67.56973
FRA,EMP,TOT,PC_WKGPOP,Q,2021-Q4,67.73807
FRA,EMP,TOT,PC_WKGPOP,Q,2022-Q1,67.92587
FRA,EMP,TOT,PC_WKGPOP,Q,2022-Q2,68.04328
FRA,EMP,TOT,PC_WKGPOP,Q,2022-Q3,68.34865
FRA,EMP,TOT,PC_WKGPOP,Q,2022-Q4,68.25278
DEU,EMP,TOT,PC_WKGPOP,Q,2019-Q1,75.64301
DEU,EMP,TOT,PC_WKGPOP,Q,2019-Q2,75.63916
DEU,EMP,TOT,PC_WKGPOP,Q,2019-Q3,75.63686
DEU,EMP,TOT,PC_WKGPOP,Q,2019-Q4,75.79168
DEU,EMP,TOT,PC_WKGPOP,Q,2020-Q1,74.51653
DEU,EMP,TOT,PC_WKGPOP,Q,2020-Q2,74.15243
DEU,EMP,TOT,PC_WKGPOP,Q,2020-Q3,74.10233
DEU,EMP,TOT,PC_WKGPOP,Q,2020-Q4,74.66211
DEU,EMP,TOT,PC_WKGPOP,Q,2021-Q1,74.70644
DEU,EMP,TOT,PC_WKGPOP,Q,2021-Q2,75.33554
DEU,EMP,TOT,PC_WKGPOP,Q,2021-Q3,76.39913
DEU,EMP,TOT,PC_WKGPOP,Q,2021-Q4,76.80186
DEU,EMP,TOT,PC_WKGPOP,Q,2022-Q1,77.07957
DEU,EMP,TOT,PC_WKGPOP,Q,2022-Q2,77.29937
DEU,EMP,TOT,PC_WKGPOP,Q,2022-Q3,77.23196
DEU,EMP,TOT,PC_WKGPOP,Q,2022-Q4,77.26468
ITA,EMP,TOT,PC_WKGPOP,Q,2019-Q1,58.71209
