Date,Open,High,Low,Close,Volume
2020-04-17,32.33,38.08,30.57,33.49,"39,726,059"
2020-04-24,31.86,33.02,29.33,31.74,"48,036,149"
2020-05-01,32.44,33.74,29.64,32.05,"28,852,162"
2020-05-08,32.36,45.7,32.03,43,"127,918,478"
2020-05-15,42.51,49.68,42.01,48.42,"81,898,539"
2020-05-22,47.29,48.22,43.4,45.81,"40,524,893"
2020-05-29,44.74,45.5,38.8,42.19,"33,980,009"
2020-06-05,42.1,49.3,41.26,45.9,"46,724,442"
2020-06-12,45.2,49.4,42.9,47.1,"36,061,869"
2020-06-19,48.27,51.95,47.04,50.89,"49,149,638"
2020-06-26,52,60,51.65,58.43,"66,660,850"
2020-07-02,58.05,61.39,55.68,59.16,"26,996,703"
2020-07-10,59.25,68.78,59.24,68.47,"35,549,676"
2020-07-17,69.25,69.73,58.23,58.53,"43,646,206"
2020-07-24,59.72,65.31,59.58,61.82,"29,752,509"
2020-07-31,62.58,68.94,61.75,68.22,"26,895,715"
2020-08-07,69.6,73.21,66.37,68.3,"28,205,358"
2020-08-14,68.48,69.57,62.5,64.34,"26,270,421"
2020-08-21,64.88,70.95,63.23,69.35,"23,149,812"
2020-08-28,69.95,77.46,65.29,75.96,"41,813,982"
2020-09-04,76,92.5,72.11,80.63,"86,475,681"
2020-09-11,79.38,98.61,79.29,84.04,"206,050,322"
2020-09-18,81.72,90.01,78.83,89.7,"221,038,500"
2020-09-25,89.4,100.44,87.78,97.73,"230,288,461"
2020-10-02,97.27,110.25,94.42,107.51,"151,354,589"
2020-10-09,107.67,123.58,106.11,123.02,"90,546,240"
2020-10-16,125.1,139.75,122.24,131.33,"132,335,794"
2020-10-23,130.94,136.95,117.58,122.53,"91,786,932"
2020-10-30,123.02,125.65,109.01,110.21,"52,191,005"
2020-11-06,112.36,132.79,110.13,125.46,"66,776,057"
2020-11-13,106.69,112,92.03,100.79,"143,044,095"
2020-11-20,97.3,112.81,95.86,110.9,"64,685,985"
2020-11-27,110.43,113.94,104.15,108.98,"37,576,070"
2020-12-04,110.03,117.75,105.69,114.45,"49,591,597"
2020-12-11,114.07,120.31,108.18,117.1,"43,529,427"
2020-12-18,118.01,142,117.75,139.84,"82,385,546"
2020-12-24,141.8,167.37,137.77,162.72,"74,084,285"
2020-12-31,164,164.4,146.37,151.72,"32,311,238"
2021-01-08,152.51,159.03,140.74,158.88,"33,375,032"
2021-01-15,156.77,171.09,147.76,157.81,"34,901,414"
2021-01-22,152.55,160.41,144.9,159.75,"23,378,891"
2021-01-29,160.85,166.57,139.02,146.13,"31,497,923"
2021-02-05,147.7,157.83,142.7,148.3,"49,417,884"
2021-02-12,148.84,154.83,143.33,154.67,"37,065,778"
2021-02-19,155.5,155.52,135.03,139.71,"27,561,774"
2021-02-26,137.32,138.61,111.94,120.47,"44,775,190"
2021-03-05,122.48,126.74,94,105.13,"50,689,017"
2021-03-12,108.69,119.12,100.42,111.55,"49,624,523"
